FIPS_Code,Area_name,POVALL_2021,PCTPOVALL_2021
1000,Alabama,800848.0,16.3
1001,Autauga County,6296.0,10.7
1003,Baldwin County,25526.0,10.8
1005,Barbour County,5089.0,23.0
1007,Bibb County,4204.0,20.6
1009,Blount County,6992.0,12.0
1011,Bullock County,2764.0,32.1
1013,Butler County,4226.0,22.7
1015,Calhoun County,21630.0,19.2
1017,Chambers County,6699.0,19.7
1019,Cherokee County,4513.0,18.2
1021,Chilton County,6973.0,15.5
1023,Choctaw County,2893.0,23.3
1025,Clarke County,4366.0,19.4
1027,Clay County,2560.0,18.4
1029,Cleburne County,2236.0,15.0
1031,Coffee County,8516.0,15.9
1033,Colbert County,9396.0,16.5
1035,Conecuh County,2528.0,22.4
1037,Coosa County,1754.0,17.1
1039,Covington County,7317.0,19.8
1041,Crenshaw County,2267.0,17.5
1043,Cullman County,11898.0,13.5
1045,Dale County,7587.0,15.7
1047,Dallas County,10914.0,29.5
1049,DeKalb County,13783.0,19.4
1051,Elmore County,10138.0,12.0
1053,Escambia County,8147.0,23.8
1055,Etowah County,17605.0,17.4
1057,Fayette County,3123.0,19.6
1059,Franklin County,5995.0,18.9
1061,Geneva County,5566.0,21.1
1063,Greene County,2520.0,33.2
1065,Hale County,3221.0,22.1
1067,Henry County,2694.0,15.6
1069,Houston County,20210.0,19.1
1071,Jackson County,9851.0,18.9
1073,Jefferson County,110131.0,16.9
1075,Lamar County,2300.0,17.0
1077,Lauderdale County,14838.0,16.2
1079,Lawrence County,4566.0,13.9
1081,Lee County,30989.0,18.0
1083,Limestone County,10363.0,9.9
1085,Lowndes County,2786.0,28.3
1087,Macon County,4725.0,27.5
1089,Madison County,39316.0,10.2
1091,Marengo County,4602.0,24.6
1093,Marion County,5209.0,18.3
1095,Marshall County,15145.0,15.6
1097,Mobile County,74061.0,18.2
1099,Monroe County,4349.0,22.3
1101,Montgomery County,47309.0,21.7
1103,Morgan County,16459.0,13.5
1105,Perry County,2591.0,33.7
1107,Pickens County,3591.0,21.1
1109,Pike County,7429.0,23.9
1111,Randolph County,4652.0,21.5
1113,Russell County,12620.0,21.7
1115,St. Clair County,11652.0,12.8
1117,Shelby County,17306.0,7.7
1119,Sumter County,4005.0,35.1
1121,Talladega County,14936.0,19.1
1123,Tallapoosa County,7420.0,18.3
1125,Tuscaloosa County,31735.0,14.7
1127,Walker County,12877.0,20.2
1129,Washington County,3091.0,20.6
1131,Wilcox County,3340.0,32.4
1133,Winston County,4455.0,19.0
2000,Alaska,77736.0,10.8
2013,Aleutians East Borough,625.0,18.4
2016,Aleutians West Census Area,505.0,10.4
2020,Anchorage Borough,26920.0,9.5
2050,Bethel Census Area,4496.0,24.6
2060,Bristol Bay Borough,93.0,11.3
2063,Chugach Census Area,530.0,7.7
2066,Copper River Census Area,375.0,14.3
2068,Denali Borough,115.0,7.5
2070,Dillingham Census Area,1033.0,21.8
2090,Fairbanks North Star Borough,7247.0,7.9
2100,Haines Borough,223.0,10.8
2105,Hoonah-Angoon Census Area,395.0,17.0
2110,Juneau Borough,2378.0,7.600000000000001
2122,Kenai Peninsula Borough,6729.0,11.5
2130,Ketchikan Gateway Borough,1529.0,11.3
2150,Kodiak Island Borough,1072.0,8.5
2158,Kusilvak Census Area,2534.0,30.4
2164,Lake and Peninsula Borough,290.0,20.6
2170,Matanuska-Susitna Borough,11453.0,10.5
2180,Nome Census Area,1920.0,19.8
2185,North Slope Borough,1354.0,12.4
2188,Northwest Arctic Borough,1560.0,20.9
2195,Petersburg Borough,269.0,8.0
2198,Prince of Wales-Hyder Census Area,859.0,15.0
2220,Sitka Borough,717.0,8.6
2230,Skagway Municipality,69.0,6.100000000000001
2240,Southeast Fairbanks Census Area,890.0,12.9
2275,Wrangell City and Borough,231.0,11.3
2282,Yakutat Borough,86.0,12.2
2290,Yukon-Koyukuk Census Area,1240.0,23.7
4000,Arizona,919680.0,12.9
4001,Apache County,18422.0,28.4
4003,Cochise County,20618.0,17.1
4005,Coconino County,22677.0,16.9
4007,Gila County,8900.0,16.8
4009,Graham County,7385.0,20.4
4011,Greenlee County,886.0,9.5
4012,La Paz County,3303.0,20.3
4013,Maricopa County,502224.0,11.3
4015,Mohave County,38383.0,18.0
4017,Navajo County,26324.0,24.8
4019,Pima County,151169.0,14.7
4021,Pinal County,45630.0,10.7
4023,Santa Cruz County,9723.0,20.4
4025,Yavapai County,29766.0,12.5
4027,Yuma County,34270.0,17.3
5000,Arkansas,471195.0,16.0
5001,Arkansas County,2923.0,17.7
5003,Ashley County,3950.0,21.3
5005,Baxter County,5565.0,13.4
5007,Benton County,22890.0,7.9
5009,Boone County,4860.0,13.0
5011,Bradley County,2011.0,19.6
5013,Calhoun County,672.0,14.6
5015,Carroll County,4717.0,16.8
5017,Chicot County,2594.0,27.9
5019,Clark County,3699.0,20.0
5021,Clay County,2543.0,17.9
5023,Cleburne County,4109.0,16.7
5025,Cleveland County,1054.0,14.1
