costRank,State,Latitude,Longitude
1,Hawaii,21.094318,-157.498337
3,California,36.116203,-119.681564
4,New York,42.165726,-74.948051
5,Oregon,44.572021,-122.070938
6,Massachusetts,42.230171,-71.530106
7,Alaska,61.370716,-152.404419
8,Maryland,39.063946,-76.802101
9,Connecticut,41.597782,-72.755371
10,New Jersey,40.298904,-74.521011
11,Rhode Island,41.680893,-71.51178
12,Maine,44.693947,-69.381927
13,Vermont,44.045876,-72.710686
14,Washington,47.400902,-121.490494
15,New Hampshire,43.452492,-71.563896
16,Nevada,38.313515,-117.055374
17,Delaware,39.318523,-75.507141
18,Montana,46.921925,-110.454353
19,Colorado,39.059811,-105.311104
20,Pennsylvania,40.590752,-77.209755
21,Minnesota,45.694454,-93.900192
22,Virginia,37.769337,-78.169968
23,South Dakota,44.299782,-99.438828
24,North Dakota,47.528912,-99.784012
25,Utah,40.150032,-111.862434
26,Florida,27.766279,-81.686783
27,Wisconsin,44.268543,-89.616508
28,Arizona,33.729759,-111.431221
29,South Carolina,33.856892,-80.945007
30,North Carolina,35.630066,-79.806419
31,Illinois,40.349457,-88.986137
32,Louisiana,31.169546,-91.867805
33,Idaho,44.240459,-114.478828
34,Texas,31.054487,-97.563461
35,West Virginia,38.491226,-80.954453
36,Kentucky,37.66814,-84.670067
37,Ohio,40.388783,-82.764915
38,Nebraska,41.12537,-98.268082
39,Iowa,42.011539,-93.210526
40,Indiana,39.849426,-86.258278
42,Wyoming,42.755966,-107.30249
41,Alabama,#N/A,#N/A
43,Georgia,33.040619,-83.643074
44,Kansas,38.5266,-96.726486
45,Michigan,43.326618,-84.536095
46,Tennessee,35.747845,-86.692345
47,New Mexico,34.840515,-106.248482
48,Missouri,38.456085,-92.288368
49,Oklahoma,35.565342,-96.928917
50,Arkansas,34.969704,-92.373123
51,Mississippi,32.741646,-89.678696
